Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hvo_production,transforms--saf_production,transforms--hydrogen_consumption,transforms--electricity_consumption,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--hydrogen_edge--commodity,edges--hydrogen_edge--unidirectional,edges--hydrogen_edge--has_capacity,edges--hydrogen_edge--start_vertex,edges--hvo_edge--commodity,edges--hvo_edge--unidirectional,edges--hvo_edge--has_capacity,edges--hvo_edge--end_vertex,edges--saf_edge--commodity,edges--saf_edge--unidirectional,edges--saf_edge--has_capacity,edges--saf_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
HEFA,BR_AC_HEFA_macaw,BR_AC,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_AC,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_N,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AC
HEFA,BR_AL_HEFA_macaw,BR_AL,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_AL,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_NE,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AL
HEFA,BR_AP_HEFA_macaw,BR_AP,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_AP,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_N,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AP
HEFA,BR_AM_HEFA_macaw,BR_AM,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_AM,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_N,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AM
HEFA,BR_BA_HEFA_macaw,BR_BA,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_BA,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_NE,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_BA
HEFA,BR_CE_HEFA_macaw,BR_CE,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_CE,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_NE,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_CE
HEFA,BR_DF_HEFA_macaw,BR_DF,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_DF,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_CW,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_CW,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_DF
HEFA,BR_ES_HEFA_macaw,BR_ES,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_ES,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_SE,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_SE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_ES
HEFA,BR_GO_HEFA_macaw,BR_GO,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_GO,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_CW,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_CW,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_GO
HEFA,BR_MA_HEFA_macaw,BR_MA,Biomass,True,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,True,True,True,True,30,0.1,False,True,macaw_BR_MA,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,True,False,h2_NE,Diesel,True,False,renewable_diesel_BR,JetFuel_SAF,True,False,jetfuel_SAF_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_MA
